,rank,song_title,artist,lytics_link
0,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180102011637/https://genius.com/Big-shaq-mans-not-hot-lyrics
1,2,Bartier Cardi,Cardi B,http://web.archive.org/web/20180102011637/https://genius.com/Cardi-b-bartier-cardi-lyrics
2,3,Him &amp; I,G-Eazy &amp; Halsey,http://web.archive.org/web/20180102011637/https://genius.com/G-eazy-and-halsey-him-and-i-lyrics
3,4,River,Eminem,http://web.archive.org/web/20180102011637/https://genius.com/Eminem-river-lyrics
4,5,​​rockstar,Post Malone,http://web.archive.org/web/20180102011637/https://genius.com/Post-malone-rockstar-lyrics
5,6,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180102011637/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
6,7,This Is Me,Keala Settle,http://web.archive.org/web/20180102011637/https://genius.com/Keala-settle-this-is-me-lyrics
7,8,Bodak Yellow,Cardi B,http://web.archive.org/web/20180102011637/https://genius.com/Cardi-b-bodak-yellow-lyrics
8,9,MotorSport,"Migos, Nicki Minaj &amp; Cardi B",http://web.archive.org/web/20180102011637/https://genius.com/Migos-nicki-minaj-and-cardi-b-motorsport-lyrics
9,10,Perfect,Ed Sheeran,http://web.archive.org/web/20180102011637/https://genius.com/Ed-sheeran-perfect-lyrics
10,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180102192747/https://genius.com/Big-shaq-mans-not-hot-lyrics
11,2,Bartier Cardi,Cardi B,http://web.archive.org/web/20180102192747/https://genius.com/Cardi-b-bartier-cardi-lyrics
12,3,River,Eminem,http://web.archive.org/web/20180102192747/https://genius.com/Eminem-river-lyrics
13,4,Him &amp; I,G-Eazy &amp; Halsey,http://web.archive.org/web/20180102192747/https://genius.com/G-eazy-and-halsey-him-and-i-lyrics
14,5,​​rockstar,Post Malone,http://web.archive.org/web/20180102192747/https://genius.com/Post-malone-rockstar-lyrics
15,6,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180102192747/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
16,7,This Is Me,Keala Settle,http://web.archive.org/web/20180102192747/https://genius.com/Keala-settle-this-is-me-lyrics
17,8,Bodak Yellow,Cardi B,http://web.archive.org/web/20180102192747/https://genius.com/Cardi-b-bodak-yellow-lyrics
18,9,MotorSport,"Migos, Nicki Minaj &amp; Cardi B",http://web.archive.org/web/20180102192747/https://genius.com/Migos-nicki-minaj-and-cardi-b-motorsport-lyrics
19,10,Rewrite The Stars,Zac Efron,http://web.archive.org/web/20180102192747/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
20,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180104001344/https://genius.com/Big-shaq-mans-not-hot-lyrics
21,2,Bartier Cardi,Cardi B,http://web.archive.org/web/20180104001344/https://genius.com/Cardi-b-bartier-cardi-lyrics
22,3,River,Eminem,http://web.archive.org/web/20180104001344/https://genius.com/Eminem-river-lyrics
23,4,Him &amp; I,G-Eazy &amp; Halsey,http://web.archive.org/web/20180104001344/https://genius.com/G-eazy-and-halsey-him-and-i-lyrics
24,5,This Is Me,Keala Settle,http://web.archive.org/web/20180104001344/https://genius.com/Keala-settle-this-is-me-lyrics
25,6,​​rockstar,Post Malone,http://web.archive.org/web/20180104001344/https://genius.com/Post-malone-rockstar-lyrics
26,7,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180104001344/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
27,8,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180104001344/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
28,9,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180104001344/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
29,10,MotorSport,"Migos, Nicki Minaj &amp; Cardi B",http://web.archive.org/web/20180104001344/https://genius.com/Migos-nicki-minaj-and-cardi-b-motorsport-lyrics
30,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180104171250/https://genius.com/Big-shaq-mans-not-hot-lyrics
31,2,Bartier Cardi,Cardi B,http://web.archive.org/web/20180104171250/https://genius.com/Cardi-b-bartier-cardi-lyrics
32,3,River,Eminem,http://web.archive.org/web/20180104171250/https://genius.com/Eminem-river-lyrics
33,4,This Is Me,Keala Settle,http://web.archive.org/web/20180104171250/https://genius.com/Keala-settle-this-is-me-lyrics
34,5,Him &amp; I,G-Eazy &amp; Halsey,http://web.archive.org/web/20180104171250/https://genius.com/G-eazy-and-halsey-him-and-i-lyrics
35,6,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180104171250/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
36,7,​​rockstar,Post Malone,http://web.archive.org/web/20180104171250/https://genius.com/Post-malone-rockstar-lyrics
37,8,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180104171250/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
38,9,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180104171250/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
39,10,MotorSport,"Migos, Nicki Minaj &amp; Cardi B",http://web.archive.org/web/20180104171250/https://genius.com/Migos-nicki-minaj-and-cardi-b-motorsport-lyrics
40,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180105151234/https://genius.com/Big-shaq-mans-not-hot-lyrics
41,2,Bartier Cardi,Cardi B,http://web.archive.org/web/20180105151234/https://genius.com/Cardi-b-bartier-cardi-lyrics
42,3,Finesse (Remix),Bruno Mars,http://web.archive.org/web/20180105151234/https://genius.com/Bruno-mars-finesse-remix-lyrics
43,4,River,Eminem,http://web.archive.org/web/20180105151234/https://genius.com/Eminem-river-lyrics
44,5,All The Stars,Kendrick Lamar &amp; SZA,http://web.archive.org/web/20180105151234/https://genius.com/Kendrick-lamar-and-sza-all-the-stars-lyrics
45,6,This Is Me,Keala Settle,http://web.archive.org/web/20180105151234/https://genius.com/Keala-settle-this-is-me-lyrics
46,7,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180105151234/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
47,8,Him &amp; I,G-Eazy &amp; Halsey,http://web.archive.org/web/20180105151234/https://genius.com/G-eazy-and-halsey-him-and-i-lyrics
48,9,​​rockstar,Post Malone,http://web.archive.org/web/20180105151234/https://genius.com/Post-malone-rockstar-lyrics
49,10,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180105151234/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
50,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180107055509/https://genius.com/Big-shaq-mans-not-hot-lyrics
51,2,Bartier Cardi,Cardi B,http://web.archive.org/web/20180107055509/https://genius.com/Cardi-b-bartier-cardi-lyrics
52,3,Finesse (Remix),Bruno Mars,http://web.archive.org/web/20180107055509/https://genius.com/Bruno-mars-finesse-remix-lyrics
53,4,This Is Me,Keala Settle,http://web.archive.org/web/20180107055509/https://genius.com/Keala-settle-this-is-me-lyrics
54,5,River,Eminem,http://web.archive.org/web/20180107055509/https://genius.com/Eminem-river-lyrics
55,6,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180107055509/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
56,7,Too Good at Goodbyes,Sam Smith,http://web.archive.org/web/20180107055509/https://genius.com/Sam-smith-too-good-at-goodbyes-lyrics
57,8,Filthy,Justin Timberlake,http://web.archive.org/web/20180107055509/https://genius.com/Justin-timberlake-filthy-lyrics
58,9,​​rockstar,Post Malone,http://web.archive.org/web/20180107055509/https://genius.com/Post-malone-rockstar-lyrics
59,10,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180107055509/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
60,1,Man's Not Hot,Big Shaq,http://web.archive.org/web/20180108021609/https://genius.com/Big-shaq-mans-not-hot-lyrics
61,2,Bartier Cardi,Cardi B,http://web.archive.org/web/20180108021609/https://genius.com/Cardi-b-bartier-cardi-lyrics
62,3,Finesse (Remix),Bruno Mars,http://web.archive.org/web/20180108021609/https://genius.com/Bruno-mars-finesse-remix-lyrics
63,4,This Is Me,Keala Settle,http://web.archive.org/web/20180108021609/https://genius.com/Keala-settle-this-is-me-lyrics
64,5,River,Eminem,http://web.archive.org/web/20180108021609/https://genius.com/Eminem-river-lyrics
65,6,Rewrite the Stars,Zac Efron,http://web.archive.org/web/20180108021609/https://genius.com/Zac-efron-rewrite-the-stars-lyrics
66,7,A Million Dreams,Ziv Zaifman,http://web.archive.org/web/20180108021609/https://genius.com/Ziv-zaifman-a-million-dreams-lyrics
67,8,​​rockstar,Post Malone,http://web.archive.org/web/20180108021609/https://genius.com/Post-malone-rockstar-lyrics
68,9,Him &amp; I,G-Eazy &amp; Halsey,http://web.archive.org/web/20180108021609/https://genius.com/G-eazy-and-halsey-him-and-i-lyrics
69,10,The Greatest Show,Hugh Jackman,http://web.archive.org/web/20180108021609/https://genius.com/Hugh-jackman-the-greatest-show-lyrics
